,column_name
0,gbifID
1,license
2,modified
3,publisher
4,institutionID
5,collectionID
6,institutionCode
7,collectionCode
8,datasetName
9,basisOfRecord
10,occurrenceID
11,catalogNumber
12,recordNumber
13,recordedBy
14,individualCount
15,sex
16,lifeStage
17,occurrenceStatus
18,preparations
19,associatedSequences
20,occurrenceRemarks
21,verbatimLabel
22,materialSampleID
23,eventType
24,fieldNumber
25,eventDate
26,startDayOfYear
27,endDayOfYear
28,year
29,month
30,day
31,verbatimEventDate
32,habitat
33,samplingEffort
34,fieldNotes
35,locationID
36,higherGeography
37,continent
38,waterBody
39,islandGroup
40,island
41,countryCode
42,stateProvince
43,county
44,municipality
45,locality
46,verbatimElevation
47,verbatimDepth
48,decimalLatitude
49,decimalLongitude
50,coordinateUncertaintyInMeters
51,pointRadiusSpatialFit
52,verbatimCoordinateSystem
53,georeferencedBy
54,georeferenceProtocol
55,georeferenceRemarks
56,latestEonOrHighestEonothem
57,earliestEraOrLowestErathem
58,latestEraOrHighestErathem
59,earliestPeriodOrLowestSystem
60,latestPeriodOrHighestSystem
61,earliestEpochOrLowestSeries
62,latestEpochOrHighestSeries
63,lowestBiostratigraphicZone
64,highestBiostratigraphicZone
65,lithostratigraphicTerms
66,member
67,verbatimIdentification
68,identificationQualifier
69,typeStatus
70,identifiedBy
71,identifiedByID
72,dateIdentified
73,identificationReferences
74,identificationVerificationStatus
75,identificationRemarks
76,taxonID
77,scientificNameID
78,acceptedNameUsageID
79,parentNameUsageID
80,originalNameUsageID
81,nameAccordingToID
82,namePublishedInID
83,taxonConceptID
84,scientificName
85,acceptedNameUsage
86,parentNameUsage
87,originalNameUsage
88,nameAccordingTo
89,namePublishedIn
90,namePublishedInYear
91,higherClassification
92,kingdom
93,phylum
94,class
95,order
96,superfamily
97,family
98,subfamily
99,subtribe
100,genus
101,genericName
102,subgenus
103,infragenericEpithet
104,specificEpithet
105,infraspecificEpithet
106,cultivarEpithet
107,taxonRank
108,verbatimTaxonRank
109,vernacularName
110,nomenclaturalCode
111,taxonomicStatus
112,nomenclaturalStatus
113,taxonRemarks
114,datasetKey
115,publishingCountry
116,lastInterpreted
117,elevation
118,elevationAccuracy
119,depth
120,depthAccuracy
121,distanceFromCentroidInMeters
122,issue
123,mediaType
124,hasCoordinate
125,hasGeospatialIssues
126,taxonKey
127,acceptedTaxonKey
128,kingdomKey
129,phylumKey
130,classKey
131,orderKey
132,familyKey
133,genusKey
134,subgenusKey
135,speciesKey
136,species
137,acceptedScientificName
138,verbatimScientificName
139,typifiedName
140,protocol
141,lastParsed
142,lastCrawled
143,repatriated
144,isSequenced
145,gbifRegion
146,publishedByGbifRegion
147,level0Gid
148,level0Name
149,level1Gid
150,level1Name
151,level2Gid
152,level2Name
153,level3Gid
154,level3Name
155,iucnRedListCategory
