column_name,unique_count
gbifID,2361473
modified,231346
institutionID,37
collectionID,7
institutionCode,37
collectionCode,7
basisOfRecord,3
occurrenceID,2361473
catalogNumber,1790648
recordNumber,253149
recordedBy,115852
individualCount,819
sex,3
lifeStage,30
occurrenceStatus,2
preparations,1125
associatedSequences,3083
occurrenceRemarks,167099
verbatimLabel,2
materialSampleID,2
fieldNumber,48666
eventDate,79092
startDayOfYear,366
endDayOfYear,367
year,301
month,12
day,32
verbatimEventDate,182342
habitat,72844
locationID,50052
higherGeography,48477
continent,7
waterBody,2466
islandGroup,655
island,4075
countryCode,247
stateProvince,7056
county,13641
locality,924366
verbatimElevation,2886
verbatimDepth,853
decimalLatitude,97854
decimalLongitude,102754
coordinateUncertaintyInMeters,5438
pointRadiusSpatialFit,3
verbatimCoordinateSystem,9
verbatimSRS,6
footprintSRS,3
footprintSpatialFit,4
georeferencedBy,9
georeferencedDate,3
georeferenceProtocol,2394
georeferenceSources,2
georeferenceRemarks,4929
latestEonOrHighestEonothem,3
latestPeriodOrHighestSystem,2
latestEpochOrHighestSeries,8
earliestAgeOrLowestStage,2
highestBiostratigraphicZone,3
lithostratigraphicTerms,6
group,4
formation,3
member,2
bed,6
verbatimIdentification,3
identificationQualifier,24
typeStatus,20
identifiedBy,15491
identifiedByID,2
identificationVerificationStatus,6
identificationRemarks,5
taxonID,2
acceptedNameUsageID,315017
namePublishedInID,4
taxonConceptID,2
scientificName,362008
acceptedNameUsage,2
parentNameUsage,4
originalNameUsage,2
namePublishedIn,2
namePublishedInYear,2
higherClassification,9381
kingdom,10
phylum,64
class,186
order,926
superfamily,2
family,6622
subfamily,2
subtribe,2
genus,58510
genericName,60031
subgenus,2
infragenericEpithet,2
specificEpithet,101231
infraspecificEpithet,16294
cultivarEpithet,3
taxonRank,13
verbatimTaxonRank,3
vernacularName,4
nomenclaturalCode,5
taxonomicStatus,6
nomenclaturalStatus,4
taxonRemarks,3
datasetKey,4
publishingCountry,3
lastInterpreted,210763
elevation,5275
elevationAccuracy,941
depth,6333
depthAccuracy,1495
distanceFromCentroidInMeters,910
issue,543
mediaType,59
hasCoordinate,10
hasGeospatialIssues,5
taxonKey,362006
acceptedTaxonKey,315017
kingdomKey,8
phylumKey,63
classKey,185
orderKey,932
familyKey,6628
genusKey,59199
subgenusKey,7
speciesKey,271285
species,270918
acceptedScientificName,315019
verbatimScientificName,389005
typifiedName,2
protocol,3
lastParsed,210769
lastCrawled,9
repatriated,3
projectId,6
isSequenced,5
gbifRegion,8
publishedByGbifRegion,4
level0Gid,239
level0Name,238
level1Gid,2569
level1Name,2469
level2Gid,14207
level2Name,12304
level3Gid,8201
level3Name,7685
iucnRedListCategory,15
