column_name,non_null,unique_count,dtype
gbifID,18866,18866,int64
accessRights,18866,1,object
bibliographicCitation,18866,18866,object
language,18866,1,object
license,18866,1,object
modified,18866,1200,object
publisher,0,0,float64
references,18866,18866,object
rightsHolder,18866,1,object
type,18866,1,object
institutionID,0,0,float64
collectionID,0,0,float64
datasetID,18866,2,int64
institutionCode,18866,1,object
collectionCode,18866,1,object
datasetName,0,0,float64
ownerInstitutionCode,18866,1,object
basisOfRecord,18866,1,object
informationWithheld,0,0,float64
dataGeneralizations,66,1,object
dynamicProperties,18866,18866,object
occurrenceID,18866,18866,object
catalogNumber,18866,18866,object
recordNumber,0,0,float64
recordedBy,14570,1050,object
recordedByID,0,0,float64
individualCount,18866,13,int64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,8733,2,object
lifeStage,903,6,object
reproductiveCondition,2290,626,object
caste,0,0,float64
behavior,2,2,object
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,18866,1,object
preparations,18517,1019,object
disposition,18866,4,object
associatedOccurrences,0,0,float64
associatedReferences,6416,178,object
associatedSequences,0,0,float64
associatedTaxa,379,373,object
otherCatalogNumbers,6214,6197,object
occurrenceRemarks,18866,18842,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,18714,3180,object
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,7311,5159,object
eventDate,12299,3828,object
eventTime,0,0,float64
startDayOfYear,10965,366,float64
endDayOfYear,10965,366,float64
year,12294,156,float64
month,11394,12,float64
day,10877,31,float64
verbatimEventDate,0,0,float64
habitat,127,49,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,0,0,float64
higherGeographyID,0,0,float64
higherGeography,15088,951,object
continent,14992,7,object
waterBody,127,7,object
islandGroup,0,0,float64
island,0,0,float64
countryCode,14892,105,object
stateProvince,13519,260,object
county,9674,484,object
municipality,557,93,object
locality,12997,2520,object
verbatimLocality,0,0,float64
verbatimElevation,1475,195,object
verticalDatum,0,0,float64
verbatimDepth,0,0,float64
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,13323,2246,float64
decimalLongitude,13323,2284,float64
coordinateUncertaintyInMeters,13257,475,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,0,0,float64
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,329,14,object
georeferencedDate,8317,48,object
georeferenceProtocol,13256,3,object
georeferenceSources,13251,14,object
georeferenceRemarks,13205,562,object
