column_name,unique_count
gbifID,455212
modified,55507
basisOfRecord,2
occurrenceID,455212
catalogNumber,455204
recordNumber,20814
recordedBy,7883
individualCount,619
occurrenceStatus,2
preparations,325
associatedSequences,447
occurrenceRemarks,80318
verbatimLabel,3
materialSampleID,3
fieldNumber,25291
eventDate,30514
startDayOfYear,366
endDayOfYear,366
year,191
month,12
day,32
verbatimEventDate,34047
locationID,16404
higherGeography,13756
continent,7
waterBody,1776
islandGroup,323
island,2224
countryCode,217
stateProvince,1486
county,2317
locality,63950
verbatimElevation,76
verbatimDepth,230
decimalLatitude,15632
decimalLongitude,17148
coordinateUncertaintyInMeters,220
pointRadiusSpatialFit,7
verbatimCoordinateSystem,3
georeferencedBy,7
georeferenceProtocol,16
georeferenceRemarks,135
latestEonOrHighestEonothem,7
latestPeriodOrHighestSystem,5
latestEpochOrHighestSeries,7
highestBiostratigraphicZone,7
lithostratigraphicTerms,7
member,7
identificationQualifier,5
typeStatus,9
identifiedBy,572
taxonID,7
acceptedNameUsageID,22054
parentNameUsageID,3
originalNameUsageID,2
namePublishedInID,3
scientificName,28366
parentNameUsage,7
originalNameUsage,7
higherClassification,868
kingdom,9
phylum,9
class,9
order,71
superfamily,7
family,561
subfamily,7
genus,4427
genericName,5329
subgenus,2
specificEpithet,12528
infraspecificEpithet,681
cultivarEpithet,5
taxonRank,10
verbatimTaxonRank,2
vernacularName,2
nomenclaturalCode,2
taxonomicStatus,5
datasetKey,2
publishingCountry,2
lastInterpreted,173327
depth,3043
depthAccuracy,1170
distanceFromCentroidInMeters,43
issue,224
mediaType,34
hasCoordinate,2
hasGeospatialIssues,2
taxonKey,28364
acceptedTaxonKey,22054
kingdomKey,2
phylumKey,2
classKey,9
orderKey,64
familyKey,554
genusKey,4426
speciesKey,19431
species,19429
acceptedScientificName,22054
verbatimScientificName,30202
lastParsed,173323
repatriated,2
isSequenced,2
gbifRegion,7
level0Gid,139
level0Name,139
level1Gid,629
level1Name,611
level2Gid,1834
level2Name,1707
level3Gid,763
level3Name,731
iucnRedListCategory,9
