column_name,unique_count
gbifID,338094
modified,10795
collectionID,7
institutionCode,2
collectionCode,7
occurrenceID,338094
catalogNumber,225831
recordNumber,102948
recordedBy,8090
individualCount,19
sex,3
lifeStage,25
preparations,34
disposition,4
associatedSequences,25139
occurrenceRemarks,28684
verbatimLabel,5
materialSampleID,253108
eventID,2
fieldNumber,7065
eventDate,23011
startDayOfYear,367
endDayOfYear,367
year,157
month,12
day,32
verbatimEventDate,10231
habitat,5074
locationID,4570
higherGeography,7779
continent,7
waterBody,217
islandGroup,100
island,566
countryCode,203
stateProvince,1646
county,3053
locality,31944
verbatimElevation,913
verbatimDepth,59
minimumDistanceAboveSurfaceInMeters,2
decimalLatitude,22660
decimalLongitude,21514
coordinateUncertaintyInMeters,453
pointRadiusSpatialFit,4
verbatimCoordinateSystem,6
georeferencedBy,4
georeferenceProtocol,172
georeferenceRemarks,224
latestEonOrHighestEonothem,4
earliestEraOrLowestErathem,2
latestEraOrHighestErathem,2
earliestPeriodOrLowestSystem,2
latestPeriodOrHighestSystem,3
latestEpochOrHighestSeries,4
highestBiostratigraphicZone,4
lithostratigraphicTerms,4
member,3
verbatimIdentification,2
identificationQualifier,16
typeStatus,10
identifiedBy,1866
taxonID,4
scientificNameID,2
acceptedNameUsageID,44952
namePublishedInID,3
scientificName,45747
parentNameUsage,4
originalNameUsage,4
nameAccordingTo,2
namePublishedIn,2
namePublishedInYear,2
higherClassification,4818
kingdom,10
phylum,44
class,105
order,534
superfamily,3
family,3097
subfamily,4
genus,19311
genericName,19280
specificEpithet,22410
infraspecificEpithet,1598
cultivarEpithet,3
taxonRank,11
verbatimTaxonRank,3
vernacularName,3
nomenclaturalCode,3
taxonomicStatus,6
nomenclaturalStatus,2
taxonRemarks,2
datasetKey,2
publishingCountry,2
lastInterpreted,31889
elevation,2734
elevationAccuracy,161
depth,2252
depthAccuracy,238
distanceFromCentroidInMeters,170
issue,172
mediaType,19
hasCoordinate,2
hasGeospatialIssues,2
taxonKey,45746
acceptedTaxonKey,44951
kingdomKey,6
phylumKey,40
classKey,105
orderKey,531
familyKey,3094
genusKey,19382
speciesKey,37032
species,37025
acceptedScientificName,44951
verbatimScientificName,46008
typifiedName,13
lastParsed,31887
repatriated,2
isSequenced,2
gbifRegion,7
level0Gid,174
level0Name,174
level1Gid,1235
level1Name,1201
level2Gid,4284
level2Name,3706
level3Gid,1717
level3Name,1653
iucnRedListCategory,9
