column_name,non_null,unique_count,dtype
gbifID,338094,338094,int64
accessRights,0,0,float64
bibliographicCitation,0,0,float64
language,0,0,float64
license,338094,1,object
modified,338094,10795,object
publisher,338094,1,object
references,0,0,float64
rightsHolder,0,0,float64
type,0,0,float64
institutionID,338094,1,object
collectionID,338094,7,object
datasetID,0,0,float64
institutionCode,338094,2,object
collectionCode,338094,7,object
datasetName,338094,1,object
ownerInstitutionCode,0,0,float64
basisOfRecord,338094,1,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,0,0,float64
occurrenceID,338094,338094,object
catalogNumber,267417,225831,object
recordNumber,156512,102948,object
recordedBy,267974,8090,object
recordedByID,0,0,float64
individualCount,298747,19,float64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,72353,3,object
lifeStage,129090,25,object
reproductiveCondition,0,0,float64
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,338094,1,object
preparations,86983,34,object
disposition,338094,4,object
associatedOccurrences,0,0,float64
associatedReferences,0,0,float64
associatedSequences,32670,25139,object
associatedTaxa,0,0,float64
otherCatalogNumbers,0,0,float64
occurrenceRemarks,144547,28684,object
organismID,0,0,float64
organismName,1,1,object
organismScope,1,1,object
associatedOrganisms,1,1,object
previousIdentifications,1,1,object
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,1,1,object
verbatimLabel,5,5,object
materialSampleID,253108,253108,object
eventID,2,2,object
parentEventID,1,1,object
eventType,1,1,object
fieldNumber,70941,7065,object
eventDate,321191,23011,object
eventTime,1,1,object
startDayOfYear,318184,367,object
endDayOfYear,318184,367,object
year,320954,157,object
month,315302,12,float64
day,286084,32,object
verbatimEventDate,102251,10231,object
habitat,36069,5074,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,53474,4570,object
higherGeographyID,0,0,float64
higherGeography,333563,7779,object
continent,280356,7,object
waterBody,106748,217,object
islandGroup,22720,100,object
island,58834,566,object
countryCode,326967,203,object
stateProvince,271957,1646,object
county,197619,3053,object
municipality,0,0,float64
locality,304049,31944,object
verbatimLocality,0,0,float64
verbatimElevation,15924,913,object
verticalDatum,0,0,float64
verbatimDepth,1479,59,object
minimumDistanceAboveSurfaceInMeters,2,2,object
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,264632,22660,float64
decimalLongitude,264632,21514,float64
coordinateUncertaintyInMeters,11011,453,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,4,4,float64
verbatimCoordinateSystem,9065,6,object
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,4,4,object
georeferencedDate,0,0,float64
georeferenceProtocol,82821,172,object
georeferenceSources,0,0,float64
georeferenceRemarks,9499,224,object
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
latestEonOrHighestEonothem,4,4,object
earliestEraOrLowestErathem,4,2,object
latestEraOrHighestErathem,4,2,object
earliestPeriodOrLowestSystem,3,2,object
latestPeriodOrHighestSystem,3,3,object
earliestEpochOrLowestSeries,0,0,float64
latestEpochOrHighestSeries,4,4,object
earliestAgeOrLowestStage,0,0,float64
latestAgeOrHighestStage,0,0,float64
lowestBiostratigraphicZone,0,0,float64
highestBiostratigraphicZone,4,4,object
lithostratigraphicTerms,4,4,object
group,0,0,float64
formation,0,0,float64
member,3,3,object
bed,0,0,float64
identificationID,0,0,float64
verbatimIdentification,4,2,object
identificationQualifier,5066,16,object
typeStatus,6557,10,object
identifiedBy,112049,1866,object
identifiedByID,4,1,object
dateIdentified,0,0,float64
identificationReferences,0,0,float64
identificationVerificationStatus,4,1,object
identificationRemarks,4,1,object
taxonID,4,4,object
scientificNameID,2,2,float64
acceptedNameUsageID,331983,44952,float64
parentNameUsageID,0,0,float64
originalNameUsageID,0,0,float64
nameAccordingToID,0,0,float64
namePublishedInID,4,3,object
taxonConceptID,0,0,float64
scientificName,338093,45747,object
acceptedNameUsage,4,1,object
parentNameUsage,4,4,float64
originalNameUsage,4,4,float64
nameAccordingTo,4,2,float64
namePublishedIn,4,2,float64
namePublishedInYear,3,2,float64
higherClassification,332203,4818,object
kingdom,338093,10,object
phylum,331286,44,object
class,285817,105,object
order,307750,534,object
superfamily,3,3,object
family,318188,3097,object
subfamily,4,4,object
tribe,0,0,float64
subtribe,4,1,object
genus,303702,19311,object
genericName,303701,19280,object
subgenus,4,1,object
infragenericEpithet,0,0,float64
specificEpithet,248571,22410,object
infraspecificEpithet,9095,1598,object
cultivarEpithet,4,3,object
taxonRank,338093,11,object
verbatimTaxonRank,4,3,object
vernacularName,4,3,object
nomenclaturalCode,4,3,object
taxonomicStatus,331986,6,object
