,column_name
0,gbifID
1,license
2,modified
3,publisher
4,institutionID
5,collectionID
6,institutionCode
7,collectionCode
8,datasetName
9,basisOfRecord
10,occurrenceID
11,catalogNumber
12,recordNumber
13,individualCount
14,sex
15,lifeStage
16,occurrenceStatus
17,preparations
18,associatedSequences
19,occurrenceRemarks
20,fieldNumber
21,eventDate
22,startDayOfYear
23,endDayOfYear
24,year
25,month
26,day
27,verbatimEventDate
28,higherGeography
29,continent
30,waterBody
31,islandGroup
32,island
33,countryCode
34,stateProvince
35,county
36,locality
37,verbatimElevation
38,decimalLatitude
39,decimalLongitude
40,coordinateUncertaintyInMeters
41,georeferenceProtocol
42,georeferenceRemarks
43,identificationQualifier
44,typeStatus
45,identifiedBy
46,acceptedNameUsageID
47,scientificName
48,higherClassification
49,kingdom
50,phylum
51,class
52,order
53,family
54,genus
55,genericName
56,specificEpithet
57,infraspecificEpithet
58,taxonRank
59,taxonomicStatus
60,datasetKey
61,publishingCountry
62,lastInterpreted
63,elevation
64,elevationAccuracy
65,distanceFromCentroidInMeters
66,issue
67,mediaType
68,hasCoordinate
69,hasGeospatialIssues
70,taxonKey
71,acceptedTaxonKey
72,kingdomKey
73,phylumKey
74,classKey
75,orderKey
76,familyKey
77,genusKey
78,speciesKey
79,species
80,acceptedScientificName
81,verbatimScientificName
82,protocol
83,lastParsed
84,lastCrawled
85,repatriated
86,isSequenced
87,gbifRegion
88,publishedByGbifRegion
89,level0Gid
90,level0Name
91,level1Gid
92,level1Name
93,level2Gid
94,level2Name
95,level3Gid
96,level3Name
97,iucnRedListCategory
