,column_name,non_null,unique_count,dtype
0,gbifID,601451,601451,int64
1,accessRights,0,0,float64
2,bibliographicCitation,0,0,float64
3,language,0,0,float64
4,license,601451,1,object
5,modified,601451,29672,object
6,publisher,601451,1,object
7,references,0,0,float64
8,rightsHolder,0,0,float64
9,type,0,0,float64
10,institutionID,601451,50,object
11,collectionID,601451,1,object
12,datasetID,0,0,float64
13,institutionCode,601451,50,object
14,collectionCode,601451,1,object
15,datasetName,601451,1,object
16,ownerInstitutionCode,0,0,float64
17,basisOfRecord,601451,2,object
18,informationWithheld,0,0,float64
19,dataGeneralizations,0,0,float64
20,dynamicProperties,0,0,float64
21,occurrenceID,601451,601451,object
22,catalogNumber,601451,601428,object
23,recordNumber,550630,172937,object
24,recordedBy,545888,17644,object
25,recordedByID,0,0,float64
26,individualCount,601407,21,float64
27,organismQuantity,0,0,float64
28,organismQuantityType,0,0,float64
29,sex,513235,2,object
30,lifeStage,51363,10,object
31,reproductiveCondition,0,0,float64
32,caste,0,0,float64
33,behavior,0,0,float64
34,vitality,0,0,float64
35,establishmentMeans,0,0,float64
36,degreeOfEstablishment,0,0,float64
37,pathway,0,0,float64
38,georeferenceVerificationStatus,0,0,float64
39,occurrenceStatus,601451,1,object
40,preparations,574486,542,object
41,disposition,0,0,float64
42,associatedOccurrences,0,0,float64
43,associatedReferences,0,0,float64
44,associatedSequences,1054,1050,object
45,associatedTaxa,0,0,float64
46,otherCatalogNumbers,0,0,float64
47,occurrenceRemarks,10789,5322,object
48,organismID,0,0,float64
49,organismName,0,0,float64
50,organismScope,0,0,float64
51,associatedOrganisms,0,0,float64
52,previousIdentifications,0,0,float64
53,organismRemarks,0,0,float64
54,materialEntityID,0,0,float64
55,materialEntityRemarks,0,0,float64
56,verbatimLabel,0,0,float64
57,materialSampleID,0,0,float64
58,eventID,0,0,float64
59,parentEventID,0,0,float64
60,eventType,0,0,float64
61,fieldNumber,0,0,float64
62,eventDate,572971,46549,object
63,eventTime,0,0,float64
64,startDayOfYear,533964,366,float64
65,endDayOfYear,533964,366,float64
66,year,572932,350,float64
67,month,556083,12,float64
68,day,533197,31,float64
69,verbatimEventDate,564961,45124,object
70,habitat,132536,7512,object
71,samplingProtocol,0,0,float64
72,sampleSizeValue,0,0,float64
73,sampleSizeUnit,0,0,float64
74,samplingEffort,0,0,float64
75,fieldNotes,0,0,float64
76,eventRemarks,0,0,float64
77,locationID,0,0,float64
78,higherGeographyID,0,0,float64
79,higherGeography,601011,8925,object
80,continent,562270,7,object
81,waterBody,61593,1298,object
82,islandGroup,4769,68,object
83,island,36609,345,object
84,countryCode,596789,221,object
85,stateProvince,507497,1750,object
86,county,154049,3194,object
87,municipality,0,0,float64
88,locality,566047,86656,object
89,verbatimLocality,0,0,float64
90,verbatimElevation,1590,29,object
91,verticalDatum,0,0,float64
92,verbatimDepth,0,0,float64
93,minimumDistanceAboveSurfaceInMeters,0,0,float64
94,maximumDistanceAboveSurfaceInMeters,0,0,float64
95,locationAccordingTo,0,0,float64
96,locationRemarks,0,0,float64
97,decimalLatitude,153534,10276,float64
98,decimalLongitude,153534,11872,float64
99,coordinateUncertaintyInMeters,0,0,float64
100,coordinatePrecision,0,0,float64
101,pointRadiusSpatialFit,0,0,float64
102,verbatimCoordinateSystem,133249,4,object
103,verbatimSRS,0,0,float64
104,footprintWKT,0,0,float64
105,footprintSRS,0,0,float64
106,footprintSpatialFit,0,0,float64
107,georeferencedBy,0,0,float64
108,georeferencedDate,0,0,float64
109,georeferenceProtocol,9255,8,object
110,georeferenceSources,0,0,float64
111,georeferenceRemarks,68,8,object
112,geologicalContextID,0,0,float64
113,earliestEonOrLowestEonothem,0,0,float64
114,latestEonOrHighestEonothem,0,0,float64
115,earliestEraOrLowestErathem,0,0,float64
116,latestEraOrHighestErathem,0,0,float64
117,earliestPeriodOrLowestSystem,0,0,float64
118,latestPeriodOrHighestSystem,0,0,float64
119,earliestEpochOrLowestSeries,0,0,float64
120,latestEpochOrHighestSeries,0,0,float64
121,earliestAgeOrLowestStage,0,0,float64
122,latestAgeOrHighestStage,0,0,float64
123,lowestBiostratigraphicZone,0,0,float64
124,highestBiostratigraphicZone,0,0,float64
125,lithostratigraphicTerms,0,0,float64
126,group,0,0,float64
127,formation,0,0,float64
128,member,0,0,float64
129,bed,0,0,float64
130,identificationID,0,0,float64
131,verbatimIdentification,0,0,float64
132,identificationQualifier,1504,4,object
133,typeStatus,3736,5,object
134,identifiedBy,8184,95,object
135,identifiedByID,0,0,float64
136,dateIdentified,0,0,float64
137,identificationReferences,0,0,float64
138,identificationVerificationStatus,0,0,float64
139,identificationRemarks,0,0,float64
140,taxonID,0,0,float64
141,scientificNameID,0,0,float64
142,acceptedNameUsageID,601451,6815,int64
143,parentNameUsageID,0,0,float64
