,column_name,non_null,unique_count,dtype
177,nomenclaturalStatus,0,0,float64
178,taxonRemarks,0,0,float64
179,datasetKey,584201,1,object
180,publishingCountry,584201,1,object
181,lastInterpreted,584201,186736,object
182,elevation,252091,1604,float64
183,elevationAccuracy,250913,136,float64
184,depth,0,0,float64
185,depthAccuracy,0,0,float64
186,distanceFromCentroidInMeters,2474,146,float64
187,issue,584199,165,object
188,mediaType,5119,23,object
189,hasCoordinate,584201,2,bool
190,hasGeospatialIssues,584201,2,bool
191,taxonKey,584201,9012,int64
192,acceptedTaxonKey,584201,8475,int64
193,kingdomKey,584201,1,int64
194,phylumKey,584196,1,float64
195,classKey,583998,5,float64
196,orderKey,395161,3,float64
197,familyKey,583614,159,float64
198,genusKey,582516,1418,float64
199,subgenusKey,0,0,float64
200,speciesKey,569190,7286,float64
201,species,569190,7285,object
202,acceptedScientificName,584201,8475,object
203,verbatimScientificName,584201,9530,object
204,typifiedName,0,0,float64
205,protocol,584201,1,object
206,lastParsed,584201,186736,object
207,lastCrawled,584201,1,object
208,repatriated,573605,2,object
209,relativeOrganismQuantity,0,0,float64
210,projectId,0,0,float64
211,isSequenced,584201,2,bool
212,gbifRegion,572792,6,object
213,publishedByGbifRegion,584201,1,object
214,level0Gid,410525,175,object
215,level0Name,410525,175,object
216,level1Gid,409852,1192,object
217,level1Name,409852,1147,object
218,level2Gid,398088,4973,object
219,level2Name,398030,4138,object
220,level3Gid,51733,1518,object
221,level3Name,51358,1463,object
222,iucnRedListCategory,560733,9,object
