column_name,non_null,unique_count,dtype
gbifID,186529,186529,int64
accessRights,186529,1,object
bibliographicCitation,186529,186529,object
language,186529,1,object
license,186529,1,object
modified,186529,7024,object
publisher,186529,1,object
references,186529,186529,object
rightsHolder,186529,1,object
type,186529,1,object
institutionID,0,0,float64
collectionID,0,0,float64
datasetID,186529,2,int64
institutionCode,186529,1,object
collectionCode,186529,2,object
datasetName,0,0,float64
ownerInstitutionCode,186529,1,object
basisOfRecord,186529,1,object
informationWithheld,0,0,float64
dataGeneralizations,0,0,float64
dynamicProperties,186529,186529,object
occurrenceID,186529,186529,object
catalogNumber,186529,186529,object
recordNumber,47512,13601,object
recordedBy,110765,3451,object
recordedByID,0,0,float64
individualCount,186529,1,int64
organismQuantity,0,0,float64
organismQuantityType,0,0,float64
sex,0,0,float64
lifeStage,0,0,float64
reproductiveCondition,25,4,object
caste,0,0,float64
behavior,0,0,float64
vitality,0,0,float64
establishmentMeans,0,0,float64
degreeOfEstablishment,0,0,float64
pathway,0,0,float64
georeferenceVerificationStatus,0,0,float64
occurrenceStatus,186529,1,object
preparations,53,1,object
disposition,186529,1,object
associatedOccurrences,0,0,float64
associatedReferences,10067,3765,object
associatedSequences,0,0,float64
associatedTaxa,747,745,object
otherCatalogNumbers,0,0,float64
occurrenceRemarks,186529,186516,object
organismID,0,0,float64
organismName,0,0,float64
organismScope,0,0,float64
associatedOrganisms,0,0,float64
previousIdentifications,186511,17165,object
organismRemarks,0,0,float64
materialEntityID,0,0,float64
materialEntityRemarks,0,0,float64
verbatimLabel,0,0,float64
materialSampleID,0,0,float64
eventID,0,0,float64
parentEventID,0,0,float64
eventType,0,0,float64
fieldNumber,0,0,float64
eventDate,102510,19106,object
eventTime,0,0,float64
startDayOfYear,83155,366,float64
endDayOfYear,83155,366,float64
year,102281,206,float64
month,92893,12,float64
day,81779,31,float64
verbatimEventDate,0,0,float64
habitat,28800,14351,object
samplingProtocol,0,0,float64
sampleSizeValue,0,0,float64
sampleSizeUnit,0,0,float64
samplingEffort,0,0,float64
fieldNotes,0,0,float64
eventRemarks,0,0,float64
locationID,0,0,float64
higherGeographyID,0,0,float64
higherGeography,114430,3946,object
continent,113386,7,object
waterBody,3034,18,object
islandGroup,0,0,float64
island,0,0,float64
countryCode,114047,107,object
stateProvince,108513,228,object
county,87943,881,object
municipality,76477,2118,object
locality,61222,21413,object
verbatimLocality,0,0,float64
verbatimElevation,7596,884,object
verticalDatum,0,0,float64
verbatimDepth,0,0,float64
minimumDistanceAboveSurfaceInMeters,0,0,float64
maximumDistanceAboveSurfaceInMeters,0,0,float64
locationAccordingTo,0,0,float64
locationRemarks,0,0,float64
decimalLatitude,104429,8319,float64
decimalLongitude,104429,8315,float64
coordinateUncertaintyInMeters,104391,5428,float64
coordinatePrecision,0,0,float64
pointRadiusSpatialFit,0,0,float64
verbatimCoordinateSystem,0,0,float64
verbatimSRS,0,0,float64
footprintWKT,0,0,float64
footprintSRS,0,0,float64
footprintSpatialFit,0,0,float64
georeferencedBy,4318,6,object
georeferencedDate,11642,43,object
georeferenceProtocol,104198,3,object
georeferenceSources,102641,12,object
georeferenceRemarks,101055,6514,object
geologicalContextID,0,0,float64
earliestEonOrLowestEonothem,0,0,float64
latestEonOrHighestEonothem,0,0,float64
earliestEraOrLowestErathem,0,0,float64
latestEraOrHighestErathem,0,0,float64
earliestPeriodOrLowestSystem,0,0,float64
latestPeriodOrHighestSystem,0,0,float64
earliestEpochOrLowestSeries,0,0,float64
latestEpochOrHighestSeries,0,0,float64
earliestAgeOrLowestStage,0,0,float64
latestAgeOrHighestStage,0,0,float64
lowestBiostratigraphicZone,0,0,float64
highestBiostratigraphicZone,0,0,float64
lithostratigraphicTerms,0,0,float64
group,0,0,float64
formation,0,0,float64
member,0,0,float64
bed,0,0,float64
identificationID,0,0,float64
verbatimIdentification,0,0,float64
identificationQualifier,0,0,float64
typeStatus,3921,12,object
identifiedBy,6114,193,object
identifiedByID,0,0,float64
dateIdentified,1947,85,object
identificationReferences,0,0,float64
identificationVerificationStatus,0,0,float64
identificationRemarks,3696,2949,object
taxonID,0,0,float64
scientificNameID,0,0,float64
acceptedNameUsageID,186511,13242,float64
parentNameUsageID,0,0,float64
originalNameUsageID,0,0,float64
nameAccordingToID,0,0,float64
namePublishedInID,0,0,float64
taxonConceptID,0,0,float64
scientificName,186529,15722,object
acceptedNameUsage,0,0,float64
parentNameUsage,0,0,float64
originalNameUsage,0,0,float64
nameAccordingTo,0,0,float64
namePublishedIn,0,0,float64
namePublishedInYear,0,0,float64
higherClassification,186511,792,object
kingdom,186529,7,object
phylum,158098,17,object
class,158072,49,object
order,158033,249,object
superfamily,0,0,float64
family,157819,815,object
subfamily,0,0,float64
tribe,0,0,float64
subtribe,0,0,float64
genus,157741,4085,object
genericName,157704,3709,object
subgenus,0,0,float64
infragenericEpithet,0,0,float64
specificEpithet,132158,6756,object
infraspecificEpithet,4365,1039,object
cultivarEpithet,0,0,float64
taxonRank,186529,10,object
verbatimTaxonRank,0,0,float64
vernacularName,186511,179,object
nomenclaturalCode,186529,1,object
taxonomicStatus,186511,3,object
nomenclaturalStatus,0,0,float64
taxonRemarks,186529,1,object
datasetKey,186529,1,object
publishingCountry,186529,1,object
lastInterpreted,186529,18062,object
elevation,7596,751,float64
elevationAccuracy,736,77,float64
depth,0,0,float64
depthAccuracy,0,0,float64
distanceFromCentroidInMeters,437,67,float64
issue,186529,63,object
mediaType,177182,9,object
hasCoordinate,186529,2,bool
hasGeospatialIssues,186529,2,bool
taxonKey,186529,15722,int64
acceptedTaxonKey,186511,13242,float64
kingdomKey,186529,7,int64
phylumKey,158098,17,float64
classKey,158072,49,float64
orderKey,158033,249,float64
familyKey,157819,815,float64
genusKey,157741,4124,float64
subgenusKey,0,0,float64
speciesKey,132194,11415,float64
species,132194,11401,object
acceptedScientificName,186511,13241,object
verbatimScientificName,186529,16379,object
typifiedName,0,0,float64
protocol,186529,1,object
lastParsed,186529,18062,object
lastCrawled,186529,1,object
repatriated,114047,2,object
relativeOrganismQuantity,0,0,float64
projectId,0,0,float64
isSequenced,186529,1,bool
gbifRegion,114045,7,object
publishedByGbifRegion,186529,1,object
level0Gid,100301,77,object
level0Name,100301,77,object
level1Gid,100301,382,object
level1Name,100301,380,object
level2Gid,98763,1864,object
level2Name,98763,1522,object
level3Gid,7629,728,object
level3Name,7628,722,object
iucnRedListCategory,175648,9,object
