column_name,unique_count
gbifID,18866
bibliographicCitation,18866
modified,1200
references,18866
datasetID,2
dynamicProperties,18866
occurrenceID,18866
catalogNumber,18866
recordedBy,1050
individualCount,13
sex,2
lifeStage,6
reproductiveCondition,626
behavior,2
preparations,1019
disposition,4
associatedReferences,178
associatedTaxa,373
otherCatalogNumbers,6197
occurrenceRemarks,18842
previousIdentifications,3180
fieldNumber,5159
eventDate,3828
startDayOfYear,366
endDayOfYear,366
year,156
month,12
day,31
habitat,49
higherGeography,951
continent,7
waterBody,7
countryCode,105
stateProvince,260
county,484
municipality,93
locality,2520
verbatimElevation,195
decimalLatitude,2246
decimalLongitude,2284
coordinateUncertaintyInMeters,475
georeferencedBy,14
georeferencedDate,48
georeferenceProtocol,3
georeferenceSources,14
georeferenceRemarks,562
typeStatus,5
identifiedBy,46
dateIdentified,26
identificationRemarks,3
scientificName,1854
higherClassification,256
kingdom,2
order,27
family,134
genus,610
genericName,610
specificEpithet,949
infraspecificEpithet,583
taxonRank,8
vernacularName,1166
taxonomicStatus,3
lastInterpreted,4639
elevation,156
elevationAccuracy,2
distanceFromCentroidInMeters,14
issue,46
hasCoordinate,2
hasGeospatialIssues,2
taxonKey,1854
acceptedTaxonKey,1774
kingdomKey,2
orderKey,27
familyKey,134
genusKey,612
speciesKey,1113
species,1112
acceptedScientificName,1774
verbatimScientificName,2018
lastParsed,4639
repatriated,2
gbifRegion,7
level0Gid,94
level0Name,94
level1Gid,341
level1Name,339
level2Gid,973
level2Name,895
level3Gid,353
level3Name,349
iucnRedListCategory,8
