gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1805734410	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/630/208482_DLowerJaw_RB01_MZ.jpg											
1805734410	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/634/208482_LLowerJaw_RB01_MZ.jpg		208482	FMNH 208482 Lophuromys verhageni; lateral view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1805734410	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/631/208482_Dorsal_RB01_MZ.jpg		208482	FMNH 208482 Lophuromys verhageni; dorsal view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1805734410	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/635/208482_Ventral_RB01_MZ.jpg		208482	FMNH 208482 Lophuromys verhageni; ventral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1805734410				http://fm-digital-asse										
1805734410	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/630/208482_DLowerJaw_RB01_MZ.jpg		208482	FMNH 208482 Lophuromys verhageni; dorsal view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1805734410	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/632/208482_FullLateral_RB01_MZ.jpg											
1805734410	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/631/208482_Dorsal_RB01_MZ.jpg											
1805734410	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/633/208482_Lateral_RB01_MZ.jpg		208482	FMNH 208482 Lophuromys verhageni; lateral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/831/121530_Ventral_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; ventral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119				http://fm-digital-asse										
1883747119	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/722/828/121530_FullLateral_RB01_MZ.jpg											
1883747119	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/722/827/121530_Dorsal_RB01_MZ.jpg											
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/826/121530_DLowerJaw_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; dorsal view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/722/826/121530_DLowerJaw_RB01_MZ.jpg											
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/830/121530_LLowerJaw_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; lateral view of the mandible.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/827/121530_Dorsal_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; dorsal view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/828/121530_FullLateral_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; full lateral view of the skull.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1883747119	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/722/829/121530_Lateral_RB01_MZ.jpg		121530	FMNH 121530 Cercopithecus neglectus; lateral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
1990800009	StillImage	image/jpeg	http://fm-digital-assets.fieldmuseum.org/724/660/211637_Palette_RB01_MZ.jpg											
1990800009	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/724/660/211637_Palette_RB01_MZ.jpg		211637	FMNH 211637 Eidolon helvum; palette.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
665715227	StillImage	jpeg	https://fm-digital-assets.fieldmuseum.org/723/668/155544_Ventral_RB01_MZ.jpg		155544	FMNH 155544 Dendromus nyikae; ventral view of the cranium.			2014	Rebecca A. Banasiak : Field Museum of Natural History			http://creativecommons.org/licenses/by-nc/4.0/	Field Museum of Natural History
